#;Código;Grupo de productos;Producto;Cant.;UM;;;;;
1;275;(none);Estacion de Cebado (cucarachicida);0;Unidad;;;;;
2;367;(none);Tableta mata mosquitos FUYI x24;0;Unidad;;;;;
3;222;Auto;COMBO AUTO (5lts shampoo + 500ml silicona + 500ml caucho);97;Unidad;;;;;
4;286;Auto;Caucho base gel Auto;2,5;Litro;;;;;
5;200;Auto;Caucho premium Auto;0;Litro;;;;;
6;220;Auto;Esponja Lava auto;4;Unidad;;;;;
7;358;Auto;Lava llantas profesional;2;Unidad;;;;;
8;273;Auto;Limpia llantas;9;Litro;;;;;
9;272;Auto;Limpia tapizado;0;Litro;;;;;
10;249;Auto;Paño microfibra 30x30cm;0;Unidad;;;;;
11;271;Auto;Quita bichos (autos);0;Litros;;;;;
12;255;Auto;Rejilla MAKE Auto 50x55;1;Unidad;;;;;
13;199;Auto;Shampoo ciliconado Auto;928;Litro;;;;;
14;287;Auto;Silicona Gel Perfumada Auto;4;Litro;;;;;
15;214;Auto;Silicona Premium;6;Litro;;;;;
16;;Baño;Bloque adherente inodoro PATO;0;Unidad;;;;;
17;;Baño;CIF Baño Expert Gatillo 500 ml;10;Unidad;;;;;
18;;Baño;CIF Baño Expert Repuesto 450 ml;6;Unidad;;;;;
19;;Baño;Canasta inodoro repuesto;0;Unidad;;;;;
20;298;Baño;Cepillo lava espalda;0;Unidad;;;;;
21;335;Baño;Escobilla baño con base;1;Unidad;;;;;
22;24;Baño;Escobilla de baño con recipiente;0;Unidad;;;;;
23;;Baño;Limpia inodoros HARPIC 500 ml;-2;Unidad;;;;;
24;248;Baño;Papel HIGIENOL 4x30mts;0;Unidad;;;;;
25;301;Baño;Papel Higienico ELEGANTE 6x30mts;4;Unidad;;;;;
26;342;Baño;Papel Higienico HIGIENOL 4x50mt;0;Unidad;;;;;
27;302;Baño;Papel Higienico HIGIENOL 4x80 mts;0;Unidad;;;;;
28;318;Baño;Papel Higienico M&K 4x80 mts ;0;Unidad;;;;;
29;126;Baño;Papel higienico 4x30mts;0;Unidad;;;;;
30;121;Baño;Papel higienico individual x50 mts;0;Unidad;;;;;
31;120;Baño;Papel higienico individual x80 mts;0;Unidad;;;;;
32;122;Baño;Papel higienico x10u (300 mts);0;Unidad;;;;;
33;123;Baño;Papel higienico x10u (500 mts);0;Unidad;;;;;
34;124;Baño;Papel higienico x10u (700 mts);0;Unidad;;;;;
35;125;Baño;Papel higienico x10u (900 mts);0;Unidad;;;;;
36;306;Baño;Papel higiénico ARO 12x30mts D/H;0;Unidad;;;;;
37;305;Baño;Papel higiénico ARO 18x30mts S/H;3;Unidad;;;;;
38;294;Baño;Papel higiénico CARREFOUR 18x30mts;0;Unidad;;;;;
39;;Baño;Pastilla inodoro para mochila  MR GOLD 50gr;0;Unidad;;;;;
40;329;Baño;Pastillas inodoro HARPIC 20gr;12;Unidad;;;;;
41;188;Baño;Pastillas inodoro JARDIN 25gr;0;Unidad;;;;;
42;129;Cocina;Desengrasante Mr Musc (Naranja);19;Litro;;;;;
43;142;Cocina;Detergente 15% (verde);0;Litro;;;;;
44;143;Cocina;Detergente 20% (Verde);100;Litro;;;;;
45;;Cocina;Detergente ALA concentrado 500 ml;5;Unidad;;;;;
46;;Cocina;Detergente CIF 300 ml;6;Unidad;;;;;
47;;Cocina;Detergente CIF 500 ml;6;Unidad;;;;;
48;;Cocina;Detergente CIF Repuesto 450 ml;4;Unidad;;;;;
49;;Cocina;Detergente MAGISTRAL 300 ml;0;Unidad;;;;;
50;;Cocina;Detergente MAGISTRAL 500 ml;2;Unidad;;;;;
51;264;Cocina;Detergente Magistral Limón;24;Litro;;;;;
52;146;Cocina;Escurridor platos;0;Unidad;;;;;
53;219;Cocina;Esponja Extralimp Antihaderente;10;Unidad;;;;;
54;140;Cocina;Esponja MAKE grande;1;Unidad;;;;;
55;332;Cocina;Esponja acero MAKE 15gr;25;Unidad;;;;;
56;18;Cocina;Esponja acero chica 10gr;0;Unidad;;;;;
57;19;Cocina;Esponja acero mediana 15gr;10;Unidad;;;;;
58;331;Cocina;Esponja antihaderente MAKE;19;Unidad;;;;;
59;139;Cocina;Esponja con fibra MAKE;22;Unidad;;;;;
60;23;Cocina;Esponja fibra ok;2;Unidad;;;;;
61;17;Cocina;Esponja salvauña ok;-1;Unidad;;;;;
62;21;Cocina;Guantes latex MAKE;4;Unidad;;;;;
63;117;Cocina;Hiper rollo cocina x3 (360 paños);0;Unidad;;;;;
64;119;Cocina;Hiper rollo cocina x8;1;Unidad;;;;;
65;116;Cocina;Maxi rollo cocina 200 paños;0;Unidad;;;;;
66;118;Cocina;Maxi rollo cocina x 8;0;Unidad;;;;;
67;33;Cocina;Rejilla algodón doble 37x30cm;0;Unidad;;;;;
68;32;Cocina;Rejilla amarillo multiuso 38x36cm;14;Unidad;;;;;
69;12;Cocina;Rejilla pabilo doble NUVIA;2;Unidad;;;;;
70;258;Cocina;Repasador estampado;5;Unidad;;;;;
71;259;Cocina;Repasador x2;0;Unidad;;;;;
72;344;Cocina;Rollo cocina ELEGANTE 200 paños;5;Unidad;;;;;
73;366;Cocina;Rollo cocina ELEGANTE 3x100 ;5;Unidad;;;;;
74;303;Cocina;Rollo cocina ELEGANTE 3x50 paños;0;Unidad;;;;;
75;;Cocina;Rollo cocina ELEGANTE x 360 paños;3;Unidad;;;;;
76;;Cocina;Rollo cocina SUSSEX 200 paños;0;Unidad;;;;;
77;353;Cocina;Rollo cocina SUSSEX 3x50 ;2;Unidad;;;;;
