Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Quantity,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
Esponja Magica Dawson,Virales,364,2511281725080,Unidad,0,0,2000.0,,0,0,1,0,1,,63,,,,,
Espirales Mosquitos Country RAID (Morado) ,Hogar,365,7790520029096,Unidad,0,0,3500.0,,0,0,1,0,1,,3,,,,,
Rollo cocina ELEGANTE 3x100 ,Cocina,366,,Unidad,0,0,3800.0,,0,0,1,0,1,,5,,,,,
Tableta mata mosquitos FUYI x24,,367,7790520025845,Unidad,0,0,5500.0,,0,0,1,0,0,,0,,,,,
Papel Higienico ELEGANTE 4x30mts ,Hogar,368,7793344904143,Unidad,0,0,2000.0,,0,0,1,0,1,,6,,,,,
Esponja Magica EsfreBom ,Virales,369,7896001045712,Unidad,0,0,3000.0,,0,0,1,0,1,,20,,,,,
Mata yuyo ,Venenos,370,2512092024126,Unidad,0,0,7000.0,,0,0,1,0,1,,4,,,,,
Pastillas Cloro 50gr c/u ,Hogar,371,2512101803094,Unidad,0,0,1500.0,,0,0,0,0,1,,30,,,,,
Secador doble goma MAPUCHE 35cm,Secadores,372,7798143246043,Unidad,0,0,3500.0,,0,0,1,0,1,,3,,,,,
Secador doble goma MAPUCHE 42cm ,Secadores,373,7798143246036,Unidad,0,0,4500.0,,0,0,1,0,1,,3,,,,,
Pack 20 bolsas 50x70 ,Hogar,374,7794459002847,Unidad,0,0,1800.0,,0,0,1,0,1,,19,,,,,
Pack 20 bolsa 45x60 ,Hogar,375,7794459002823,Unidad,0,0,1500.0,,0,0,1,0,1,,28,,,,,
